tau,start_id,ok,optimization_status,solution_status,objective,risk,return,mu_w,kkt_stationarity,kkt_feasibility,kkt_complementarity,gap_to_best,reached_best,solve_time_s,n_iterations,n_selected,selected_assets
0.47196853200182304,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,-0.01472582228557373,0.01944591065771739,-0.07240256632863636,0.07240256632863636,1.9055611676027053e-15,0.0,0.0,0.7445217412005063,False,0.002740075986366719,4,6,19|21|30|32|37|38
0.670018750350959,cont,True,SUCCESS,FEASIBLE_KKT_POINT,-0.08594425226191536,0.009877443726335552,-0.1430134543817752,0.1430134543817752,2.592584715281538e-16,0.0,0.0,0.0,True,0.002416449977317825,2,4,5|7|19|47
0.670018750350959,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,-0.06073957269311499,0.013058976276501601,-0.110144005568442,0.110144005568442,3.329223333668514e-16,0.0,0.0,0.2932677742275978,False,0.0027659689949359745,4,5,6|21|24|28|43
0.670018750350959,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,-0.012150874834209624,0.04035373022759735,-0.07836288914945262,0.07836288914945262,4.23897704418565e-16,0.0,0.0,0.8586191104666497,False,0.0029989239992573857,3,3,14|23|43
0.670018750350959,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,-0.05213192156155571,0.013331424649830607,-0.09770375258467962,0.09770375258467962,2.5603037601087803e-15,0.0,0.0,0.39342166357935204,False,0.002796378976199776,4,6,11|22|23|32|44|46
0.670018750350959,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,-0.04902435674454131,0.014423974736963885,-0.09469635207711823,0.09469635207711823,1.433715024114687e-14,0.0,0.0,0.4295795768218564,False,0.0027222150238230824,3,4,20|33|37|41
0.670018750350959,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,-0.0054099535221342684,0.048236135566650934,-0.08006654897446545,0.08006654897446545,2.0626730202323518e-15,0.0,0.0,0.9370527594261397,False,0.002668756991624832,3,4,5|10|24|44
0.9511759691218709,cont,True,SUCCESS,FEASIBLE_KKT_POINT,-0.12619344248359043,0.010107658080577606,-0.14329746018499784,0.14329746018499784,5.723641179706052e-16,0.0,0.0,0.0,True,0.002559697983087972,2,4,5|7|19|47
0.9511759691218709,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,-0.06416676288758794,0.01757155864857867,-0.0859339640504456,0.0859339640504456,1.4506935577442062e-15,0.0,0.0,0.491520624010052,False,0.0028945500089321285,4,5,2|6|9|27|34
0.9511759691218709,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,-0.11393880256736187,0.012774100259840679,-0.13321709856083136,0.13321709856083136,3.342790082750447e-15,0.0,0.0,0.097109958132135,False,0.0034595690085552633,3,4,18|23|29|47
0.9511759691218709,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,-0.08971079902860696,0.0136189327141683,-0.10863366516520559,0.10863366516520559,5.206261235153468e-15,0.0,0.0,0.2891009448406037,False,0.0027940879808738828,4,5,7|29|35|38|42
0.9511759691218709,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,-0.07556898088179714,0.014652461198489446,-0.09485252467383017,0.09485252467383017,4.984637881083657e-15,0.0,0.0,0.40116554874057797,False,0.002779929985990748,4,6,3|21|28|29|45|46
